n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,avg_logloss,avg_accuracy,prediction,up_prob,down_prob
300,7,0.03,0.8,1.0,0.0,3.0,0.6119875013828278,0.662319751281505,UP,0.5984998345375061,0.4015001654624939
100,7,0.03,0.8,1.0,0.5,3.0,0.6120071560144424,0.6599357531069618,UP,0.6546324491500854,0.34536755084991455
100,5,0.03,0.6,1.0,0.5,1.0,0.6121844947338104,0.6594100003331863,DOWN,0.4889293611049652,0.5110706090927124
200,5,0.03,0.6,1.0,0.5,1.0,0.6121844947338104,0.6594100003331863,DOWN,0.4889293611049652,0.5110706090927124
300,5,0.03,0.6,1.0,0.5,1.0,0.6121844947338104,0.6594100003331863,DOWN,0.4889293611049652,0.5110706090927124
300,7,0.01,0.8,1.0,0.5,3.0,0.6122537851333618,0.6611138189506248,UP,0.5630393028259277,0.43696069717407227
100,5,0.03,0.6,0.7,0.0,1.0,0.6124117821455002,0.6676009932989175,UP,0.5163918733596802,0.4836081266403198
300,7,0.01,0.6,1.0,0.0,3.0,0.6128053069114685,0.6609684412032265,UP,0.5065658688545227,0.4934341311454773
200,7,0.01,0.6,1.0,0.5,1.0,0.6128736883401871,0.6630586675376626,UP,0.5343794226646423,0.46562057733535767
300,7,0.01,0.8,0.7,0.5,3.0,0.6131649017333984,0.6675751881913404,UP,0.5420688986778259,0.4579311013221741
200,7,0.01,0.8,1.0,0.0,1.0,0.6132189184427261,0.671731972856426,DOWN,0.49290022253990173,0.5070997476577759
300,7,0.01,0.8,1.0,0.0,3.0,0.613491103053093,0.6645027523204403,UP,0.5759187340736389,0.4240812659263611
100,7,0.03,0.8,0.7,0.5,3.0,0.6135970205068588,0.663692567018397,UP,0.6742468476295471,0.3257531523704529
300,7,0.05,0.8,0.7,0.5,3.0,0.6138604283332825,0.650719349977165,UP,0.6514683961868286,0.3485316038131714
200,7,0.05,0.8,0.7,0.5,3.0,0.6138604283332825,0.650719349977165,UP,0.6514683961868286,0.3485316038131714
100,7,0.05,0.8,0.7,0.5,3.0,0.6139252781867981,0.652874522390958,UP,0.6753881573677063,0.3246118426322937
100,7,0.03,0.8,1.0,0.0,3.0,0.6140688359737396,0.6644749236952981,UP,0.5939613580703735,0.40603864192962646
200,7,0.03,0.6,0.7,0.5,3.0,0.6141782850027084,0.6621980793999686,DOWN,0.4951285123825073,0.5048714876174927
300,7,0.03,0.6,0.7,0.5,3.0,0.6141782850027084,0.6621980793999686,DOWN,0.4951285123825073,0.5048714876174927
100,7,0.03,0.8,0.7,0.5,1.0,0.6142366379499435,0.6683544401780898,UP,0.5480377078056335,0.45196229219436646
300,7,0.03,0.8,0.7,0.5,1.0,0.6142366379499435,0.6683544401780898,UP,0.5480377078056335,0.45196229219436646
200,7,0.03,0.8,0.7,0.5,1.0,0.6142366379499435,0.6683544401780898,UP,0.5480377078056335,0.45196229219436646
200,7,0.05,0.6,1.0,0.5,1.0,0.6144000887870789,0.6615023637714127,DOWN,0.28059184551239014,0.7194081544876099
300,7,0.05,0.6,1.0,0.5,1.0,0.6144000887870789,0.6615023637714127,DOWN,0.28059184551239014,0.7194081544876099
100,7,0.05,0.6,1.0,0.5,1.0,0.6144000887870789,0.6615023637714127,DOWN,0.28059184551239014,0.7194081544876099
200,7,0.01,0.8,0.7,0.0,3.0,0.6147249788045883,0.664967542946531,UP,0.5307781100273132,0.46922188997268677
300,7,0.05,0.6,1.0,0.5,3.0,0.6147830635309219,0.6543988747727855,DOWN,0.4943801760673523,0.5056198239326477
100,7,0.05,0.6,1.0,0.5,3.0,0.6147830635309219,0.6543988747727855,DOWN,0.4943801760673523,0.5056198239326477
200,7,0.05,0.6,1.0,0.5,3.0,0.6147830635309219,0.6543988747727855,DOWN,0.4943801760673523,0.5056198239326477
200,7,0.01,0.6,0.7,0.0,3.0,0.6150786727666855,0.671948430339335,UP,0.5348114967346191,0.46518850326538086
100,5,0.05,0.6,1.0,0.0,1.0,0.6151368916034698,0.6548842160918193,UP,0.5591524839401245,0.4408475160598755
300,5,0.05,0.6,1.0,0.0,1.0,0.6151368916034698,0.6548842160918193,UP,0.5591524839401245,0.4408475160598755
200,5,0.05,0.6,1.0,0.0,1.0,0.6151368916034698,0.6548842160918193,UP,0.5591524839401245,0.4408475160598755
300,7,0.03,1.0,0.7,0.0,1.0,0.6160191744565964,0.6579918216235191,DOWN,0.4466700851917267,0.5533299446105957
200,7,0.03,1.0,0.7,0.0,1.0,0.6160191744565964,0.6579918216235191,DOWN,0.4466700851917267,0.5533299446105957
100,7,0.05,1.0,1.0,0.5,3.0,0.6165803968906403,0.6695263849862907,DOWN,0.48352035880088806,0.5164796113967896
200,7,0.05,1.0,1.0,0.5,3.0,0.6165803968906403,0.6695263849862907,DOWN,0.48352035880088806,0.5164796113967896
300,7,0.05,1.0,1.0,0.5,3.0,0.6165803968906403,0.6695263849862907,DOWN,0.48352035880088806,0.5164796113967896
200,7,0.01,0.6,0.7,0.5,3.0,0.616733655333519,0.6634802322947683,UP,0.5314427614212036,0.4685572385787964
300,7,0.03,1.0,0.7,0.5,3.0,0.6167728453874588,0.6610004556911073,DOWN,0.3878698945045471,0.6121301054954529
100,7,0.05,0.8,1.0,0.0,1.0,0.6168390959501266,0.664776890571199,UP,0.5561794638633728,0.4438205361366272
200,7,0.05,0.8,1.0,0.0,1.0,0.6168390959501266,0.664776890571199,UP,0.5561794638633728,0.4438205361366272
300,7,0.05,0.8,1.0,0.0,1.0,0.6168390959501266,0.664776890571199,UP,0.5561794638633728,0.4438205361366272
200,7,0.01,0.8,0.7,0.5,3.0,0.61689892411232,0.6613178576729262,UP,0.5566442012786865,0.4433557987213135
300,7,0.03,0.6,0.7,0.0,3.0,0.6170513778924942,0.6563788551585479,UP,0.5096073150634766,0.49039268493652344
200,7,0.03,0.6,0.7,0.0,3.0,0.6170513778924942,0.6563788551585479,UP,0.5096073150634766,0.49039268493652344
300,7,0.05,0.6,0.7,0.5,3.0,0.6170724332332611,0.646118249654782,DOWN,0.4769808053970337,0.5230191946029663
100,7,0.05,0.6,0.7,0.5,3.0,0.6170724332332611,0.646118249654782,DOWN,0.4769808053970337,0.5230191946029663
200,7,0.05,0.6,0.7,0.5,3.0,0.6170724332332611,0.646118249654782,DOWN,0.4769808053970337,0.5230191946029663
100,7,0.03,0.6,0.7,0.5,3.0,0.6171277761459351,0.6523487948585658,DOWN,0.45495086908340454,0.5450491309165955
300,5,0.01,0.6,1.0,0.0,1.0,0.6171987801790237,0.6616291638606662,UP,0.5736331939697266,0.42636680603027344
300,5,0.05,0.6,0.7,0.5,1.0,0.617265373468399,0.6467346526499582,UP,0.6237640976905823,0.3762359023094177
100,5,0.05,0.6,0.7,0.5,1.0,0.617265373468399,0.6467346526499582,UP,0.6237640976905823,0.3762359023094177
200,5,0.05,0.6,0.7,0.5,1.0,0.617265373468399,0.6467346526499582,UP,0.6237640976905823,0.3762359023094177
200,7,0.03,1.0,0.7,0.5,3.0,0.6173065602779388,0.6581268924727166,DOWN,0.392184853553772,0.607815146446228
200,7,0.01,0.8,1.0,0.5,3.0,0.617375984787941,0.665007790332281,UP,0.5535915493965149,0.4464084506034851
300,7,0.05,1.0,0.7,0.5,1.0,0.6174157708883286,0.6697294056394635,DOWN,0.4376983642578125,0.5623016357421875
200,7,0.05,1.0,0.7,0.5,1.0,0.6174157708883286,0.6697294056394635,DOWN,0.4376983642578125,0.5623016357421875
200,7,0.05,0.6,0.7,0.0,3.0,0.617516815662384,0.6523065618173257,DOWN,0.41565993428230286,0.5843400955200195
100,7,0.05,0.6,0.7,0.0,3.0,0.617516815662384,0.6523065618173257,DOWN,0.41565993428230286,0.5843400955200195
300,7,0.05,0.6,0.7,0.0,3.0,0.617516815662384,0.6523065618173257,DOWN,0.41565993428230286,0.5843400955200195
200,5,0.03,0.6,1.0,0.0,3.0,0.6175272464752197,0.6528249861761357,DOWN,0.4691896438598633,0.5308103561401367
300,5,0.03,0.6,1.0,0.0,3.0,0.6175272464752197,0.6528249861761357,DOWN,0.4691896438598633,0.5308103561401367
300,5,0.01,0.6,0.7,0.5,1.0,0.6175730675458908,0.6512233194371104,UP,0.5386863350868225,0.4613136649131775
200,7,0.01,0.6,1.0,0.5,3.0,0.6177453845739365,0.6680534408885506,UP,0.535902738571167,0.464097261428833
200,7,0.01,0.6,1.0,0.0,3.0,0.617866262793541,0.6576785045389055,UP,0.5164536833763123,0.48354631662368774
100,7,0.03,0.6,0.7,0.0,3.0,0.6178706139326096,0.6534114613044545,DOWN,0.46116316318511963,0.5388368368148804
